name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
calcor,Calcor-D,0.8550,0.7500,0.9600,bien_the_cung_nhan_hieu
Nalbun,Nalbun-Z,0.8550,0.7500,0.9600,bien_the_cung_nhan_hieu
BRON WASFI,Bron Wash,0.8548,0.8000,0.9095,khong
Profinex,Pronex,0.8528,0.7500,0.9556,co
Cap. Foldin,cap. Folzim,0.8519,0.8182,0.8857,co
Normal,normanal,0.8517,0.7500,0.9533,khong
hallornl Dx,Kallonl Dx,0.8512,0.8182,0.8843,khong
Microgest,Microsegt,0.8500,0.7778,0.9222,khong
Naproxen,Neuroxen,0.8500,0.7500,0.9500,co
Scluprud,Solupred,0.8500,0.7500,0.9500,co
Aristovit,Aristovit -B,0.8500,0.7500,0.9500,bien_the_cung_nhan_hieu
coral cal,Coraleal,0.8500,0.7778,0.9222,khong
Calboral Dx,Kalorl Dx,0.8488,0.7273,0.9704,khong
Purisal,Purtisol,0.8483,0.7500,0.9467,co
Maxrin,Maxrin D,0.8464,0.7500,0.9429,bien_the_cung_nhan_hieu
Caficid,Comficid,0.8450,0.7500,0.9400,khong
Canficid,Cowficid,0.8450,0.7500,0.9400,khong
Fuclav,Furoclav,0.8450,0.7500,0.9400,co
ratinol,rectinol,0.8450,0.7500,0.9400,khong
Roclav,Rofuclav,0.8450,0.7500,0.9400,co
Zymat Pro,Zymef Pro,0.8444,0.7778,0.9111,co
Montene,Montinex,0.8417,0.7500,0.9333,co
Neopem,Neopenem,0.8417,0.7500,0.9333,khong
Spilac,Spilac F,0.8417,0.7500,0.9333,bien_the_cung_nhan_hieu
Fuclav,Rofuclav,0.8417,0.7500,0.9333,co
Furoclav,Roclav,0.8417,0.7500,0.9333,co
collagen-d,Coragen-D,0.8400,0.8000,0.8800,co
Geotoenol,Gestrenol,0.8389,0.7778,0.9000,khong
Max Pro,Mexpro,0.8377,0.7143,0.9611,co
Biltant,Biltin,0.8371,0.7143,0.9600,co
Deslong,Desolon,0.8371,0.7143,0.9600,khong
dulox,Duloxen,0.8371,0.7143,0.9600,bien_the_cung_nhan_hieu
Fenix,Fenix-V,0.8371,0.7143,0.9600,bien_the_cung_nhan_hieu
Trypt,Tryptim,0.8371,0.7143,0.9600,bien_the_cung_nhan_hieu
Trypt,Tryptin,0.8371,0.7143,0.9600,bien_the_cung_nhan_hieu
Neruopex,Nervoprx,0.8369,0.7500,0.9238,khong
Tab. Etorx,Tb. Torax,0.8354,0.7000,0.9708,co
Clavusef,Clavusef sw,0.8351,0.7273,0.9429,bien_the_cung_nhan_hieu
voltalin,Voltalin -D,0.8351,0.7273,0.9429,bien_the_cung_nhan_hieu
Cefaxine,Cefixime,0.8350,0.7500,0.9200,co
figfimef,vigfimet,0.8350,0.7500,0.9200,khong
Montelm,montelon,0.8350,0.7500,0.9200,co
normanal,Normant,0.8350,0.7500,0.9200,khong
relenten,relentus,0.8350,0.7500,0.9200,co
Kallonl Dx,lullonl Dx,0.8345,0.8000,0.8690,khong
coral cal d,Corulcal-D,0.8345,0.7273,0.9417,khong
Bilax,Biloxe,0.8333,0.6667,1.0000,co
D-cop,docopa,0.8333,0.6667,1.0000,khong
Deixil,Dexila,0.8333,0.6667,1.0000,co
Deixl,Deuxil,0.8333,0.6667,1.0000,khong
Deuxil,Dexila,0.8333,0.6667,1.0000,co
