name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Fuclav,Furoclav,0.8450,0.7500,0.9400,
ratinol,rectinol,0.8450,0.7500,0.9400,
Roclav,Rofuclav,0.8450,0.7500,0.9400,
Zymat Pro,Zymef Pro,0.8444,0.7778,0.9111,
Montene,Montinex,0.8417,0.7500,0.9333,
Neopem,Neopenem,0.8417,0.7500,0.9333,
Spilac,Spilac F,0.8417,0.7500,0.9333,
Fuclav,Rofuclav,0.8417,0.7500,0.9333,
Furoclav,Roclav,0.8417,0.7500,0.9333,
collagen-d,Coragen-D,0.8400,0.8000,0.8800,
Geotoenol,Gestrenol,0.8389,0.7778,0.9000,
Max Pro,Mexpro,0.8377,0.7143,0.9611,
Biltant,Biltin,0.8371,0.7143,0.9600,
Deslong,Desolon,0.8371,0.7143,0.9600,
dulox,Duloxen,0.8371,0.7143,0.9600,
Fenix,Fenix-V,0.8371,0.7143,0.9600,
Trypt,Tryptim,0.8371,0.7143,0.9600,
Trypt,Tryptin,0.8371,0.7143,0.9600,
Neruopex,Nervoprx,0.8369,0.7500,0.9238,
Tab. Etorx,Tb. Torax,0.8354,0.7000,0.9708,
Clavusef,Clavusef sw,0.8351,0.7273,0.9429,
voltalin,Voltalin -D,0.8351,0.7273,0.9429,
Cefaxine,Cefixime,0.8350,0.7500,0.9200,
figfimef,vigfimet,0.8350,0.7500,0.9200,
Montelm,montelon,0.8350,0.7500,0.9200,
normanal,Normant,0.8350,0.7500,0.9200,
relenten,relentus,0.8350,0.7500,0.9200,
Kallonl Dx,lullonl Dx,0.8345,0.8000,0.8690,
coral cal d,Corulcal-D,0.8345,0.7273,0.9417,
Bilax,Biloxe,0.8333,0.6667,1.0000,
D-cop,docopa,0.8333,0.6667,1.0000,
Deixil,Dexila,0.8333,0.6667,1.0000,
Deixl,Deuxil,0.8333,0.6667,1.0000,
Deuxil,Dexila,0.8333,0.6667,1.0000,
Esmax,esomix,0.8333,0.6667,1.0000,
Rosuva,rosv,0.8333,0.6667,1.0000,
rosv,roswva,0.8333,0.6667,1.0000,
vergun,verqon,0.8333,0.6667,1.0000,
Calboral,Calborul-D,0.8333,0.7000,0.9667,
cefotil plus,Furotil Plus,0.8333,0.7500,0.9167,
Coralcal,Corulcal-D,0.8333,0.7000,0.9667,
Tab. Calbo,Tab. Galoa,0.8333,0.7000,0.9667,
Carulcal D,coral cal d,0.8324,0.7273,0.9375,
lnfilax,lufilox,0.8321,0.7143,0.9500,
lnfilax,Lwfilex,0.8321,0.7143,0.9500,
Cora DX,coral-dx,0.8306,0.7500,0.9111,
Tab. Neuro-B,Tab.Neuro,0.8306,0.7500,0.9111,
Anlin,Ansulin,0.8305,0.7143,0.9467,
Rausiflex Plus,Resitfex plus,0.8305,0.7143,0.9467,
Toramax,Torax,0.8305,0.7143,0.9467,
Toramex,Torax,0.8305,0.7143,0.9467,
Toramex,Torex,0.8305,0.7143,0.9467,
Calboral Dx,Calborul-D,0.8303,0.7273,0.9333,
Phylopen,Phylopen-Ds,0.8303,0.7273,0.9333,
Arth An,Arth ATS,0.8298,0.7500,0.9095,
Napa Extend,Napa extra,0.8289,0.7273,0.9306,
Tomdolin,Toradolin,0.8289,0.7778,0.8800,
Albumin,albutein,0.8283,0.7500,0.9067,
Microcef,microges,0.8283,0.7500,0.9067,
Nitro-SR,Nitrofur,0.8283,0.7500,0.9067,
Relenfn,relenten,0.8283,0.7500,0.9067,
Domin,Dominos,0.8280,0.7143,0.9417,
Faropew,Farpev,0.8280,0.7143,0.9417,
Faropew,Feropen,0.8280,0.7143,0.9417,
sckoria,Sekorin,0.8280,0.7143,0.9417,
Cefixime,Cefuroxime,0.8278,0.7000,0.9556,
Deixl,Denixil,0.8271,0.7143,0.9400,
Deixl,Devixil,0.8271,0.7143,0.9400,
Denixil,Deuxil,0.8271,0.7143,0.9400,
Deuxil,Devixil,0.8271,0.7143,0.9400,
Rofixim,Roxim,0.8271,0.7143,0.9400,
Cefixime,Ceftadixime,0.8255,0.7273,0.9238,
Nexe-mups,Nexum Mups,0.8250,0.7000,0.9500,
Rasiflex,Rodiflex,0.8250,0.7500,0.9000,
anustat,Nystat,0.8238,0.7143,0.9333,
Bilon,Bilozin,0.8238,0.7143,0.9333,
Cef-B,Cefin-B,0.8238,0.7143,0.9333,
emi-xit,Mixit,0.8238,0.7143,0.9333,
Fixal,fixalrt,0.8238,0.7143,0.9333,
Fluelox,Lelox,0.8238,0.7143,0.9333,
Rupadin,RUPIN,0.8238,0.7143,0.9333,
Gavitfep,Gavitfx,0.8217,0.7500,0.8933,
Calboral,Kalcoral,0.8217,0.7500,0.8933,
figfimef,viglimef,0.8217,0.7500,0.8933,
Fimoxyclav,Fimoxyl,0.8214,0.7000,0.9429,
radiflex,Ravliflex,0.8210,0.7778,0.8643,
Rasiflex,Ravliflex,0.8210,0.7778,0.8643,
Maxsulin R,Maxuline-R,0.8208,0.7000,0.9417,
Neurolin,Neurolin CR,0.8208,0.7273,0.9143,
coral cal d,Coralcal,0.8199,0.7273,0.9125,
mecol,Mesacol,0.8196,0.7143,0.9250,
ROlac,Rotalac,0.8196,0.7143,0.9250,
Calboral,Calboral Dx,0.8192,0.7273,0.9111,
Aristovil-B,Aristovit,0.8184,0.7273,0.9095,
Combicid,Comlricid,0.8178,0.7778,0.8578,
Comficid,Comlricid,0.8178,0.7778,0.8578,
Zymef Pro,Zymetpro,0.8178,0.7778,0.8578,
Delfraf,Delfroz,0.8171,0.7143,0.9200,
Delfraf,Delfrz,0.8171,0.7143,0.9200,
Dexnaat,Dexnaof,0.8171,0.7143,0.9200,
Inderal,Inderen,0.8171,0.7143,0.9200,
Triptin,Tryptim,0.8171,0.7143,0.9200,
Coralcalry,Corulcal-D,0.8167,0.7000,0.9333,
Detfacavt,Detfacf,0.8167,0.6667,0.9667,
G-pethidne,Pethidine,0.8167,0.7000,0.9333,
Tab. cifotil,Tab. cifotil plus,0.8166,0.7059,0.9273,
coral,Decoral,0.8155,0.7143,0.9167,
Desolon,Solon,0.8155,0.7143,0.9167,
Canficid,Comficid,0.8150,0.7500,0.8800,
Cetaclav,Cifaclav,0.8150,0.7500,0.8800,
Tomdolin,trodolin,0.8150,0.7500,0.8800,
Napronex,Pronex,0.8139,0.7500,0.8778,
Algend,Algin,0.8133,0.6667,0.9600,
Axim,Aximcy,0.8133,0.6667,0.9600,
etorac,Etorix,0.8133,0.6667,0.9600,
Traxy,Troxyf,0.8133,0.6667,0.9600,
Amlocal,Amlrocaf,0.8128,0.7500,0.8756,
Calbo-D,Calborul-D,0.8111,0.7000,0.9222,
coral cal,Coralcalry,0.8111,0.7000,0.9222,
Coralcalry,Coraleal,0.8111,0.7000,0.9222,
Microgest,Microgurt,0.8111,0.7778,0.8444,
Delfmz,Delfroz,0.8105,0.7143,0.9067,
Inderen,Indever,0.8105,0.7143,0.9067,
Lubilay,Lubilex,0.8105,0.7143,0.9067,
Lubilay,Lubilox,0.8105,0.7143,0.9067,
Emazid,Emezrd,0.8100,0.6667,0.9533,
Fixal,Fixcel,0.8100,0.6667,0.9533,
Fixal,Fixgul,0.8100,0.6667,0.9533,
Bactrosin,Bartrocin,0.8089,0.7778,0.8400,
Cafixim,Cefixime,0.8083,0.7500,0.8667,
Cefaclav,Kefuclav,0.8083,0.7500,0.8667,
halcorl,Kalcoral,0.8083,0.7500,0.8667,
hepamore,Hepanor,0.8083,0.7500,0.8667,
Kefuclav,Rofuclav,0.8083,0.7500,0.8667,
novotril,Rivotril,0.8083,0.7500,0.8667,
Ubi Core,vbi care,0.8083,0.7500,0.8667,
collagen-d,Cor algen-D,0.8074,0.7273,0.8875,
Fexit,Frenxit,0.8071,0.7143,0.9000,
Fusil Plm,Wfolil plm,0.8071,0.7000,0.9143,
Nenvopex,Nervoprx,0.8071,0.7500,0.8643,
alafix,alix,0.8067,0.6667,0.9467,
Flubex,Flux,0.8067,0.6667,0.9467,
hallornl Dx,Kalorl Dx,0.8058,0.7273,0.8843,
Coragu-D,Coralgue D,0.8056,0.7000,0.9111,
Indever f,Indiver,0.8048,0.6667,0.9429,
Indever f,Indover,0.8048,0.6667,0.9429,
Cinamycin,clindamycin,0.8043,0.8182,0.7905,
Atoz,Atozen,0.8042,0.6667,0.9417,
Avolac,avolu,0.8042,0.6667,0.9417,
D-cop,Docopc,0.8042,0.6667,0.9417,
Dexa,Dexila,0.8042,0.6667,0.9417,
Geotoenol,Geoton,0.8042,0.6667,0.9417,
napro,Napryn,0.8042,0.6667,0.9417,
Reset,Rosetn,0.8042,0.6667,0.9417,
Delfraf,Delfrnz,0.8038,0.7143,0.8933,
Doximax,Doximev,0.8038,0.7143,0.8933,
Indevex,Indiver,0.8038,0.7143,0.8933,
Indevex,Indover,0.8038,0.7143,0.8933,
Alatrol,Alolrol,0.8038,0.7143,0.8933,
Bilan,Biltant,0.8038,0.7143,0.8933,
Libidex,Lubilex,0.8038,0.7143,0.8933,
Monas,monfast,0.8038,0.7143,0.8933,
Rivarox,Rivyox,0.8038,0.7143,0.8933,
Afix,alafix,0.8033,0.6667,0.9400,
V-plex,Valex,0.8033,0.6667,0.9400,
Demoxiclav,Fimoxyclav,0.8024,0.7000,0.9048,
Coragen-D,Coragu-D,0.8022,0.7778,0.8267,
coral cal d,Coralcalry,0.8004,0.7273,0.8736,
?icrogent,Microgest,0.8000,0.7778,0.8222,
A-Flux,Flux,0.8000,0.6667,0.9333,
Bilan,Biltin,0.8000,0.6667,0.9333,
Bilau,Billi,0.8000,0.6000,1.0000,
Bilon,Biltin,0.8000,0.6667,0.9333,
Calbon,Callin,0.8000,0.6667,0.9333,
Drexy,Traxy,0.8000,0.6000,1.0000,
Etorix,Torax,0.8000,0.6667,0.9333,
Etorix,Torex,0.8000,0.6667,0.9333,
Fleme max,flemex,0.8000,0.6667,0.9333,
Flexi,Flux,0.8000,0.6000,1.0000,
Flux,Fylox,0.8000,0.6000,1.0000,
Fuclav,Kefuclav,0.8000,0.7500,0.8500,
Furoclav,turboclav,0.8000,0.7778,0.8222,
Katomor,Lactomore,0.8000,0.6667,0.9333,
N-Max,Unomax,0.8000,0.6667,0.9333,
Neemoxew,Neuvoxew,0.8000,0.7500,0.8500,
Neemoxew,Newoxew,0.8000,0.7500,0.8500,
Neugalin,Neurolin,0.8000,0.7500,0.8500,
Neuvoxew,Newoxew,0.8000,0.7500,0.8500,
Ralee,Rolae,0.8000,0.6000,1.0000,
rbc,Robac,0.8000,0.6000,1.0000,
Syrup,zerup,0.8000,0.6000,1.0000,
Torax,Traxy,0.8000,0.6000,1.0000,
Geotoenol,Gestirenol,0.8000,0.7000,0.9000,
Flucloxacillin,Flucloxin,0.7992,0.6429,0.9556,
Calbo-D,Calbon,0.7988,0.7143,0.8833,
faropen,Farpev,0.7988,0.7143,0.8833,
linatab,Linatin,0.7988,0.7143,0.8833,
m-lucas,Malucan,0.7988,0.7143,0.8833,
Maxima,Maxirra,0.7988,0.7143,0.8833,
Adora,amdoral,0.7971,0.7143,0.8800,
latilax,Lubilax,0.7971,0.7143,0.8800,
Lubilax,lufilox,0.7971,0.7143,0.8800,
Lubilex,lufilox,0.7971,0.7143,0.8800,
Lubilex,lutilax,0.7971,0.7143,0.8800,
Lubilex,Lwfilex,0.7971,0.7143,0.8800,
Lubilox,lutilax,0.7971,0.7143,0.8800,
lufilox,lutilax,0.7971,0.7143,0.8800,
Timptin,Triptin,0.7971,0.7143,0.8800,
Timptin,Tryptin,0.7971,0.7143,0.8800,
Tmiptin,Tryptin,0.7971,0.7143,0.8800,
Cefixime,Cefuroximee,0.7960,0.6364,0.9556,
Fixcef Plus,Fxsid Plus,0.7960,0.6364,0.9556,
Analac,Auolac,0.7958,0.6667,0.9250,
geolan,Gerlon,0.7958,0.6667,0.9250,
geolan,Geslon,0.7958,0.6667,0.9250,
Geoton,Gestin,0.7958,0.6667,0.9250,
Ocef,Oricef,0.7958,0.6667,0.9250,
Lubilax,lulrilax,0.7950,0.7500,0.8400,
lulrilax,lutilax,0.7950,0.7500,0.8400,
Nenvopex,Neruopex,0.7950,0.7500,0.8400,
Delfmz,Delfrnz,0.7949,0.7143,0.8756,
Delfnj,Delfrnz,0.7949,0.7143,0.8756,
Delfroz,Delfxz,0.7949,0.7143,0.8756,
Doxicap,Doximax,0.7949,0.7143,0.8756,
Microgurt,Microsegt,0.7944,0.6667,0.9222,
Axim CV,Aximcy,0.7943,0.7143,0.8743,
dextac,Dexter,0.7933,0.6667,0.9200,
Dextal,Dexter,0.7933,0.6667,0.9200,
Traxyl,Troxyf,0.7933,0.6667,0.9200,
Maxsulin,moxilin,0.7931,0.6250,0.9611,
Naporx,Napronex,0.7931,0.6250,0.9611,
calcor,Kalcoral,0.7925,0.6250,0.9600,
coral-dx,Coralex DX,0.7917,0.7000,0.8833,
Frulac,ROlac,0.7917,0.6667,0.9167,
Reset,uriset,0.7917,0.6667,0.9167,
Merthomol,Metaomol,0.7914,0.7778,0.8050,
Bilfast,Telfast,0.7905,0.7143,0.8667,
Bilozin,Biltin,0.7905,0.7143,0.8667,
Bisnen,Bisoren,0.7905,0.7143,0.8667,
Cafixim,Rofixim,0.7905,0.7143,0.8667,
calcor,Calcor-Dx,0.7905,0.6667,0.9143,
cefazid,Cefrid,0.7905,0.7143,0.8667,
Cefixim,Rofixim,0.7905,0.7143,0.8667,
criptin,Tryptin,0.7905,0.7143,0.8667,
Endever,Indiver,0.7905,0.7143,0.8667,
Endever,Indover,0.7905,0.7143,0.8667,
glanine,Glasin,0.7905,0.7143,0.8667,
Glarine,Glasin,0.7905,0.7143,0.8667,
hulilax,Lubilax,0.7905,0.7143,0.8667,
hulilax,lutilax,0.7905,0.7143,0.8667,
hutilax,latilax,0.7905,0.7143,0.8667,
Namefan,Nameton,0.7905,0.7143,0.8667,
Priten,Purifen,0.7905,0.7143,0.8667,
Profen,protein,0.7905,0.7143,0.8667,
Triolon,Trizon,0.7905,0.7143,0.8667,
Vonacab,Vonorab,0.7905,0.7143,0.8667,
Naproxen,Napxon,0.7903,0.6250,0.9556,
Ceftriaxone,Ceftron,0.7896,0.6364,0.9429,
Calboral Dx,hallornl Dx,0.7896,0.7273,0.8519,
Escilex,Exlilex,0.7893,0.7143,0.8643,
Alben,albutein,0.7892,0.6250,0.9533,
Bredicon,Brodin,0.7892,0.6250,0.9533,
Indooref,Indover,0.7892,0.6250,0.9533,
montelon,Montene,0.7892,0.6250,0.9533,
Rosu,Rosuva,0.7889,0.6667,0.9111,
cabergol,cabetool,0.7883,0.7500,0.8267,
Calbo-D,Calcor-D,0.7883,0.7500,0.8267,
Neurocet,Neuroxen,0.7883,0.7500,0.8267,
Neurolin,Neuroxen,0.7883,0.7500,0.8267,
novonil,novotril,0.7883,0.7500,0.8267,
Radifil,Raditril,0.7883,0.7500,0.8267,
Tab. Calbo,Tab. clacido,0.7881,0.6667,0.9095,
Tab. Neobean,Tab. Normen,0.7881,0.6667,0.9095,
Nafro A plus,Neuro A Plw Sw,0.7881,0.6429,0.9333,
Microcef,Microgcofi,0.7878,0.7000,0.8756,
deflaxen,Duloxen,0.7875,0.6250,0.9500,
Dexa,dextac,0.7867,0.6667,0.9067,
Dexa,Dextal,0.7867,0.6667,0.9067,
Dexlor,Dexter,0.7867,0.6667,0.9067,
Fixcel,Fixgul,0.7867,0.6667,0.9067,
Naporx,napro,0.7867,0.6667,0.9067,
xinc,xinc B,0.7867,0.6667,0.9067,
Flexinor,Hexinor,0.7861,0.7500,0.8222,
hulilax,lulrilax,0.7861,0.7500,0.8222,
Escolex,Eslilex,0.7860,0.7143,0.8578,
filmef,vildamef,0.7858,0.6250,0.9467,
Flemorif,flurif,0.7858,0.6250,0.9467,
normanal,Nurnal,0.7858,0.6250,0.9467,
Reconil,rectinol,0.7858,0.6250,0.9467,
Triolon,trodolin,0.7858,0.6250,0.9467,
clexane,Glyxan,0.7857,0.5714,1.0000,
Derolon,Triolon,0.7857,0.5714,1.0000,
Peridon,Priten,0.7857,0.5714,1.0000,
ratinol,Ruotinl,0.7857,0.5714,1.0000,
Retinol,Ruotinl,0.7857,0.5714,1.0000,
Reef-Dx,Reefcal-Dx,0.7852,0.7000,0.8705,
Ubi Core,ubicore E,0.7844,0.6667,0.9022,
Salost,Salost Dx,0.7833,0.6667,0.9000,
coral,Coraleal,0.7833,0.6250,0.9417,
acron,Allcaron,0.7825,0.6250,0.9400,
Colistin,Costan,0.7825,0.6250,0.9400,
Fatisol,Fentizol,0.7825,0.6250,0.9400,
filmef,viglimef,0.7825,0.6250,0.9400,
Filmet,viglimet,0.7825,0.6250,0.9400,
ratnol,rectinol,0.7825,0.6250,0.9400,
rectinol,Ruotinl,0.7825,0.6250,0.9400,
demelon,Derolon,0.7821,0.7143,0.8500,
demelon,Desolon,0.7821,0.7143,0.8500,
Fasopen,Feropen,0.7821,0.7143,0.8500,
Limtab,linatab,0.7821,0.7143,0.8500,
menoril,merocil,0.7821,0.7143,0.8500,
neclufe,neelufh,0.7821,0.7143,0.8500,
rechnol,Reconil,0.7821,0.7143,0.8500,
rechnol,Retinol,0.7821,0.7143,0.8500,
Sardopa,Syndopa,0.7821,0.7143,0.8500,
Bilax,Lubilax,0.7821,0.7143,0.8500,
Nifin SR,nintoin sr,0.7821,0.7000,0.8643,
hallornl Dx,lullonl Dx,0.7820,0.7273,0.8366,
Alatol,Alatrof,0.7813,0.7143,0.8483,
Delfian,Delfraf,0.7813,0.7143,0.8483,
Doxicap,Doxiva,0.7813,0.7143,0.8483,
Montelm,Montene,0.7813,0.7143,0.8483,
Normal,Normant,0.7813,0.7143,0.8483,
Revarol,Rivarox,0.7813,0.7143,0.8483,
Ratinol Forte,Rotinaf fote,0.7809,0.6923,0.8694,
nexe mvs,Nexe-mups,0.7806,0.6667,0.8944,
Tab. Menoral,TAB. PENOULY,0.7806,0.6667,0.8944,
Meropenem,Neopenem,0.7806,0.7778,0.7833,
Tab. Beklo,Tab. Calbo,0.7806,0.6000,0.9611,
Tab. Beklo,Tab. Galoa,0.7806,0.6000,0.9611,
Tab. Arislovit-B,Tab.Aristovif-,0.7804,0.7500,0.8108,
Cefaxine,Ceftriaxone,0.7801,0.6364,0.9238,
Cefixim,Ceftadixime,0.7801,0.6364,0.9238,
Emezrd,Emjard,0.7800,0.6667,0.8933,
Esomax,esonix,0.7800,0.6667,0.8933,
flemex,Flubex,0.7800,0.6667,0.8933,
Microcef,Microsegt,0.7800,0.6667,0.8933,
prolix,Pronex,0.7800,0.6667,0.8933,
telmacal,Telmicard,0.7800,0.6667,0.8933,
Telmicard,Telmocal,0.7800,0.6667,0.8933,
Delfrnz,Delfxz,0.7794,0.7143,0.8444,
Tab. Naprox,Tab. Neuro-B,0.7792,0.6667,0.8917,
Anfree,Anfrocef,0.7792,0.6250,0.9333,
Avloclav,Avolac,0.7792,0.6250,0.9333,
Calamine,Callin,0.7792,0.6250,0.9333,
Flexi,Flexibac,0.7792,0.6250,0.9333,
Flexi,Flexinor,0.7792,0.6250,0.9333,
N-Max,N-MAX SO,0.7792,0.6250,0.9333,
Napronex,Napryn,0.7792,0.6250,0.9333,
Profen,Profinex,0.7792,0.6250,0.9333,
Radifil,radiflex,0.7792,0.6250,0.9333,
Cefaclav,Fuclav,0.7792,0.6250,0.9333,
cefazid,Resfazit,0.7792,0.6250,0.9333,
Cetaclav,tyclav,0.7792,0.6250,0.9333,
Cifaclav,Fuclav,0.7792,0.6250,0.9333,
Lantus,relentus,0.7792,0.6250,0.9333,
Liprolin,Pirulin,0.7792,0.6250,0.9333,
Tab. Epitra,Tab. Etorx,0.7789,0.6364,0.9214,
Calborul-D,Calcor-D,0.7789,0.7000,0.8578,
Biocal-Dx,coral-dx,0.7778,0.6667,0.8889,
Cefixim,Cefuroxime,0.7778,0.6000,0.9556,
clindacin,Linatin,0.7778,0.6667,0.8889,
Ibuprofen,Profen,0.7778,0.6667,0.8889,
Roclav,turboclav,0.7778,0.6667,0.8889,
Combicid,Cowficid,0.7775,0.7500,0.8050,
Neuroxen,Neuvoxew,0.7775,0.7500,0.8050,
rechnol,rectinol,0.7775,0.7500,0.8050,
Vidamef,vildamet,0.7775,0.7500,0.8050,
latilax,lnfilax,0.7771,0.7143,0.8400,
lnfilax,Lubilax,0.7771,0.7143,0.8400,
lnfilax,lutilax,0.7771,0.7143,0.8400,
Nufrifil Cold,Nulrifil Golf,0.7751,0.7692,0.7810,
Amilin,Amlip,0.7750,0.6667,0.8833,
Anfree,Anfuye,0.7750,0.6667,0.8833,
Arlila,Arlin,0.7750,0.6667,0.8833,
Deixil,Dexin,0.7750,0.6667,0.8833,
Deuxil,Dexin,0.7750,0.6667,0.8833,
Dexila,Dexin,0.7750,0.6667,0.8833,
Dexila,Doxiva,0.7750,0.6667,0.8833,
Eggcal,Eggcot,0.7750,0.6667,0.8833,
Glymed,Glymfa,0.7750,0.6667,0.8833,
Histat,Histol,0.7750,0.6667,0.8833,
Pregan,pregmo,0.7750,0.6667,0.8833,
Acliz Plus,Algin Plus,0.7750,0.7000,0.8500,
Nafro A plus,Naprox plus,0.7750,0.7500,0.8000,
Voligel Max,volirac max,0.7747,0.7273,0.8222,
aeropen,faropen,0.7738,0.7143,0.8333,
Alcef,calacef,0.7738,0.7143,0.8333,
Anlin,lanolin,0.7738,0.7143,0.8333,
Aropen,Feropen,0.7738,0.7143,0.8333,
Aropen,Meropen,0.7738,0.7143,0.8333,
Avolac,gavilac,0.7738,0.7143,0.8333,
Beconal,Reconil,0.7738,0.7143,0.8333,
cefotil,Esotil,0.7738,0.7143,0.8333,
Derolon,Gerlon,0.7738,0.7143,0.8333,
Desolon,Geslon,0.7738,0.7143,0.8333,
Duracef,Furocef,0.7738,0.7143,0.8333,
faropen,Meropen,0.7738,0.7143,0.8333,
Linatin,Unatin,0.7738,0.7143,0.8333,
Povital,Revital,0.7738,0.7143,0.8333,
Tenocab,Vonocab,0.7738,0.7143,0.8333,
Tenocab,Yonocab,0.7738,0.7143,0.8333,
Vonacab,Yonocab,0.7738,0.7143,0.8333,
Voltalin -D,Voltalin Syrup,0.7738,0.6429,0.9048,
Defalin,deflaxen,0.7736,0.6250,0.9222,
Maxirra,Moxigram,0.7736,0.6250,0.9222,
Naproxen,Napryn,0.7736,0.6250,0.9222,
Dexlor,Dezlo,0.7733,0.6667,0.8800,
Flubex,Frabex,0.7733,0.6667,0.8800,
Tab. ANADOL,Tab. Anth,0.7729,0.6364,0.9095,
Calcor-D,Kalcoral,0.7725,0.6250,0.9200,
Cefaxine,Cefixim,0.7725,0.6250,0.9200,
Inderen,Indooref,0.7725,0.6250,0.9200,
Calboral Dx,Kallonl Dx,0.7719,0.6364,0.9074,
Carulcal D,Coralcal,0.7714,0.6000,0.9429,
Microcef,Microgest,0.7711,0.6667,0.8756,
microges,Microsegt,0.7711,0.6667,0.8756,
Alc,Alect,0.7708,0.6000,0.9417,
Deixl,Dexa,0.7708,0.6000,0.9417,
Dexa,Dexin,0.7708,0.6000,0.9417,
Dexa,doxva,0.7708,0.6000,0.9417,
Fexit,Fexo,0.7708,0.6000,0.9417,
Nexe,Nexum,0.7708,0.6000,0.9417,
Alanol,Alatrol,0.7705,0.7143,0.8267,
Caficid,Cafixim,0.7705,0.7143,0.8267,
progest,progut,0.7705,0.7143,0.8267,
mefhomof,Melhomofsw,0.7700,0.7000,0.8400,
Doximax,Doxiva,0.7696,0.7143,0.8250,
Valex,Valex CR,0.7696,0.6250,0.9143,
coral cal d,Coralgue D,0.7696,0.6364,0.9028,
Flucloxin,Fluelox,0.7686,0.6667,0.8705,
Cinaron Plus,Naprosin Plus,0.7683,0.6154,0.9213,
Canficid,Cantilid,0.7683,0.7500,0.7867,
vigfimef,viglimet,0.7683,0.7500,0.7867,
vigfimet,viglimef,0.7683,0.7500,0.7867,
halconl Dx,Kalorl Dx,0.7683,0.7000,0.8366,
